workerid,not_paid_attention,like,num_plays,filler,pre_check_response,agree,topic,stimulus,open_answer,time,friendly,happy,gender,age,education,language,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.condition,Answer.time_in_minutes,Answer.hit_information,audio_input,speaker_impressions,enjoyment,asses,comments,problems,fairprice
1,False,0.58,1,True,smoothie,0.52,smoothie,smoothie,,13316,0.61,0.86,Cis_Female,30,3,english,Windows,1080,1920,Chrome,3UQ1LLR26ASLOKHV7ZJAMXKKZ6LAL2,3PZBZMF78J3L9MWXN4DEMCXB8NOX9R,Perception of Interactions,"Listen to interactions and answer questions about how you think the speakers feel. You must be a native speaker of English, be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university explanations perception,$1.20,Thu Jun 01 12:12:22 PDT 2017,2,0,0,2,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jul 01 12:12:22 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3UQ1LLR26ASLOKHV7ZJAMXKKZ6LAL2,3J4Q2Z4UTZNV8EX4QBS0ASCR6LCQWF,0,Approved,Fri Jun 02 05:01:20 PDT 2017,Thu Jun 01 12:12:26 PDT 2017,Thu Jun 01 12:21:20 PDT 2017,Thu Jun 01 12:47:02 PDT 2017,,,,,undefined,3.599666666666670,"{""audio_input"":""noise cancelling headphones"",""speaker_impressions"":""Sometimes even though she agreed it didn&quotechart seem like she REALLY agreed"",""enjoyment"":""1"",""asses"":""Yes"",""comments"":"""",""problems"":"""",""fairprice"":""1.20""}",noise cancelling headphones,Sometimes even though she agreed it didn&quotechart seem like she REALLY agreed,1,Yes,,,1.2
1,False,0.93,1,True,hat,0.49,hat,hat,,12598,0.2,0.87,Cis_Female,30,3,english,Windows,1080,1920,Chrome,3UQ1LLR26ASLOKHV7ZJAMXKKZ6LAL2,3PZBZMF78J3L9MWXN4DEMCXB8NOX9R,Perception of Interactions,"Listen to interactions and answer questions about how you think the speakers feel. You must be a native speaker of English, be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university explanations perception,$1.20,Thu Jun 01 12:12:22 PDT 2017,2,0,0,2,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jul 01 12:12:22 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3UQ1LLR26ASLOKHV7ZJAMXKKZ6LAL2,3J4Q2Z4UTZNV8EX4QBS0ASCR6LCQWF,0,Approved,Fri Jun 02 05:01:20 PDT 2017,Thu Jun 01 12:12:26 PDT 2017,Thu Jun 01 12:21:20 PDT 2017,Thu Jun 01 12:47:02 PDT 2017,,,,,undefined,3.599666666666670,"{""audio_input"":""noise cancelling headphones"",""speaker_impressions"":""Sometimes even though she agreed it didn&quotechart seem like she REALLY agreed"",""enjoyment"":""1"",""asses"":""Yes"",""comments"":"""",""problems"":"""",""fairprice"":""1.20""}",noise cancelling headphones,Sometimes even though she agreed it didn&quotechart seem like she REALLY agreed,1,Yes,,,1.2
1,False,0.29,1,False,ice cream,0.49,ice cream,ice_cream_neg,,17712,0.77,0.52,Cis_Female,30,3,english,Windows,1080,1920,Chrome,3UQ1LLR26ASLOKHV7ZJAMXKKZ6LAL2,3PZBZMF78J3L9MWXN4DEMCXB8NOX9R,Perception of Interactions,"Listen to interactions and answer questions about how you think the speakers feel. You must be a native speaker of English, be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university explanations perception,$1.20,Thu Jun 01 12:12:22 PDT 2017,2,0,0,2,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jul 01 12:12:22 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3UQ1LLR26ASLOKHV7ZJAMXKKZ6LAL2,3J4Q2Z4UTZNV8EX4QBS0ASCR6LCQWF,0,Approved,Fri Jun 02 05:01:20 PDT 2017,Thu Jun 01 12:12:26 PDT 2017,Thu Jun 01 12:21:20 PDT 2017,Thu Jun 01 12:47:02 PDT 2017,,,,,undefined,3.599666666666670,"{""audio_input"":""noise cancelling headphones"",""speaker_impressions"":""Sometimes even though she agreed it didn&quotechart seem like she REALLY agreed"",""enjoyment"":""1"",""asses"":""Yes"",""comments"":"""",""problems"":"""",""fairprice"":""1.20""}",noise cancelling headphones,Sometimes even though she agreed it didn&quotechart seem like she REALLY agreed,1,Yes,,,1.2
1,False,0.49,1,False,movie,0.49,movie,movie_neg,,12209,0.5,0.57,Cis_Female,30,3,english,Windows,1080,1920,Chrome,3UQ1LLR26ASLOKHV7ZJAMXKKZ6LAL2,3PZBZMF78J3L9MWXN4DEMCXB8NOX9R,Perception of Interactions,"Listen to interactions and answer questions about how you think the speakers feel. You must be a native speaker of English, be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university explanations perception,$1.20,Thu Jun 01 12:12:22 PDT 2017,2,0,0,2,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jul 01 12:12:22 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3UQ1LLR26ASLOKHV7ZJAMXKKZ6LAL2,3J4Q2Z4UTZNV8EX4QBS0ASCR6LCQWF,0,Approved,Fri Jun 02 05:01:20 PDT 2017,Thu Jun 01 12:12:26 PDT 2017,Thu Jun 01 12:21:20 PDT 2017,Thu Jun 01 12:47:02 PDT 2017,,,,,undefined,3.599666666666670,"{""audio_input"":""noise cancelling headphones"",""speaker_impressions"":""Sometimes even though she agreed it didn&quotechart seem like she REALLY agreed"",""enjoyment"":""1"",""asses"":""Yes"",""comments"":"""",""problems"":"""",""fairprice"":""1.20""}",noise cancelling headphones,Sometimes even though she agreed it didn&quotechart seem like she REALLY agreed,1,Yes,,,1.2
1,False,0.67,1,True,museum,0.63,museum,museum,,12020,0.62,0.9,Cis_Female,30,3,english,Windows,1080,1920,Chrome,3UQ1LLR26ASLOKHV7ZJAMXKKZ6LAL2,3PZBZMF78J3L9MWXN4DEMCXB8NOX9R,Perception of Interactions,"Listen to interactions and answer questions about how you think the speakers feel. You must be a native speaker of English, be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university explanations perception,$1.20,Thu Jun 01 12:12:22 PDT 2017,2,0,0,2,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jul 01 12:12:22 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3UQ1LLR26ASLOKHV7ZJAMXKKZ6LAL2,3J4Q2Z4UTZNV8EX4QBS0ASCR6LCQWF,0,Approved,Fri Jun 02 05:01:20 PDT 2017,Thu Jun 01 12:12:26 PDT 2017,Thu Jun 01 12:21:20 PDT 2017,Thu Jun 01 12:47:02 PDT 2017,,,,,undefined,3.599666666666670,"{""audio_input"":""noise cancelling headphones"",""speaker_impressions"":""Sometimes even though she agreed it didn&quotechart seem like she REALLY agreed"",""enjoyment"":""1"",""asses"":""Yes"",""comments"":"""",""problems"":"""",""fairprice"":""1.20""}",noise cancelling headphones,Sometimes even though she agreed it didn&quotechart seem like she REALLY agreed,1,Yes,,,1.2
1,False,0.94,1,False,theatre,0.29,theatre,theatre_pos,,10356,0.17,0.78,Cis_Female,30,3,english,Windows,1080,1920,Chrome,3UQ1LLR26ASLOKHV7ZJAMXKKZ6LAL2,3PZBZMF78J3L9MWXN4DEMCXB8NOX9R,Perception of Interactions,"Listen to interactions and answer questions about how you think the speakers feel. You must be a native speaker of English, be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university explanations perception,$1.20,Thu Jun 01 12:12:22 PDT 2017,2,0,0,2,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jul 01 12:12:22 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3UQ1LLR26ASLOKHV7ZJAMXKKZ6LAL2,3J4Q2Z4UTZNV8EX4QBS0ASCR6LCQWF,0,Approved,Fri Jun 02 05:01:20 PDT 2017,Thu Jun 01 12:12:26 PDT 2017,Thu Jun 01 12:21:20 PDT 2017,Thu Jun 01 12:47:02 PDT 2017,,,,,undefined,3.599666666666670,"{""audio_input"":""noise cancelling headphones"",""speaker_impressions"":""Sometimes even though she agreed it didn&quotechart seem like she REALLY agreed"",""enjoyment"":""1"",""asses"":""Yes"",""comments"":"""",""problems"":"""",""fairprice"":""1.20""}",noise cancelling headphones,Sometimes even though she agreed it didn&quotechart seem like she REALLY agreed,1,Yes,,,1.2
1,False,0.92,1,False,cake,0.69,cake,cake_pos,,8258,0.89,0.81,Cis_Female,30,3,english,Windows,1080,1920,Chrome,3UQ1LLR26ASLOKHV7ZJAMXKKZ6LAL2,3PZBZMF78J3L9MWXN4DEMCXB8NOX9R,Perception of Interactions,"Listen to interactions and answer questions about how you think the speakers feel. You must be a native speaker of English, be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university explanations perception,$1.20,Thu Jun 01 12:12:22 PDT 2017,2,0,0,2,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jul 01 12:12:22 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3UQ1LLR26ASLOKHV7ZJAMXKKZ6LAL2,3J4Q2Z4UTZNV8EX4QBS0ASCR6LCQWF,0,Approved,Fri Jun 02 05:01:20 PDT 2017,Thu Jun 01 12:12:26 PDT 2017,Thu Jun 01 12:21:20 PDT 2017,Thu Jun 01 12:47:02 PDT 2017,,,,,undefined,3.599666666666670,"{""audio_input"":""noise cancelling headphones"",""speaker_impressions"":""Sometimes even though she agreed it didn&quotechart seem like she REALLY agreed"",""enjoyment"":""1"",""asses"":""Yes"",""comments"":"""",""problems"":"""",""fairprice"":""1.20""}",noise cancelling headphones,Sometimes even though she agreed it didn&quotechart seem like she REALLY agreed,1,Yes,,,1.2
1,False,0.71,1,True,salad,0.29,salad,salad,,14997,0.42,0.6,Cis_Female,30,3,english,Windows,1080,1920,Chrome,3UQ1LLR26ASLOKHV7ZJAMXKKZ6LAL2,3PZBZMF78J3L9MWXN4DEMCXB8NOX9R,Perception of Interactions,"Listen to interactions and answer questions about how you think the speakers feel. You must be a native speaker of English, be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university explanations perception,$1.20,Thu Jun 01 12:12:22 PDT 2017,2,0,0,2,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jul 01 12:12:22 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3UQ1LLR26ASLOKHV7ZJAMXKKZ6LAL2,3J4Q2Z4UTZNV8EX4QBS0ASCR6LCQWF,0,Approved,Fri Jun 02 05:01:20 PDT 2017,Thu Jun 01 12:12:26 PDT 2017,Thu Jun 01 12:21:20 PDT 2017,Thu Jun 01 12:47:02 PDT 2017,,,,,undefined,3.599666666666670,"{""audio_input"":""noise cancelling headphones"",""speaker_impressions"":""Sometimes even though she agreed it didn&quotechart seem like she REALLY agreed"",""enjoyment"":""1"",""asses"":""Yes"",""comments"":"""",""problems"":"""",""fairprice"":""1.20""}",noise cancelling headphones,Sometimes even though she agreed it didn&quotechart seem like she REALLY agreed,1,Yes,,,1.2
1,False,0.82,1,False,scarf,0.47,scarf,scarf_pos,,10738,0.83,0.31,Cis_Female,30,3,english,Windows,1080,1920,Chrome,3UQ1LLR26ASLOKHV7ZJAMXKKZ6LAL2,3PZBZMF78J3L9MWXN4DEMCXB8NOX9R,Perception of Interactions,"Listen to interactions and answer questions about how you think the speakers feel. You must be a native speaker of English, be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university explanations perception,$1.20,Thu Jun 01 12:12:22 PDT 2017,2,0,0,2,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jul 01 12:12:22 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3UQ1LLR26ASLOKHV7ZJAMXKKZ6LAL2,3J4Q2Z4UTZNV8EX4QBS0ASCR6LCQWF,0,Approved,Fri Jun 02 05:01:20 PDT 2017,Thu Jun 01 12:12:26 PDT 2017,Thu Jun 01 12:21:20 PDT 2017,Thu Jun 01 12:47:02 PDT 2017,,,,,undefined,3.599666666666670,"{""audio_input"":""noise cancelling headphones"",""speaker_impressions"":""Sometimes even though she agreed it didn&quotechart seem like she REALLY agreed"",""enjoyment"":""1"",""asses"":""Yes"",""comments"":"""",""problems"":"""",""fairprice"":""1.20""}",noise cancelling headphones,Sometimes even though she agreed it didn&quotechart seem like she REALLY agreed,1,Yes,,,1.2
1,False,0.34,1,True,coffee,0.5,coffee,coffee,,13421,0.6,0.85,Cis_Female,30,3,english,Windows,1080,1920,Chrome,3UQ1LLR26ASLOKHV7ZJAMXKKZ6LAL2,3PZBZMF78J3L9MWXN4DEMCXB8NOX9R,Perception of Interactions,"Listen to interactions and answer questions about how you think the speakers feel. You must be a native speaker of English, be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university explanations perception,$1.20,Thu Jun 01 12:12:22 PDT 2017,2,0,0,2,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jul 01 12:12:22 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3UQ1LLR26ASLOKHV7ZJAMXKKZ6LAL2,3J4Q2Z4UTZNV8EX4QBS0ASCR6LCQWF,0,Approved,Fri Jun 02 05:01:20 PDT 2017,Thu Jun 01 12:12:26 PDT 2017,Thu Jun 01 12:21:20 PDT 2017,Thu Jun 01 12:47:02 PDT 2017,,,,,undefined,3.599666666666670,"{""audio_input"":""noise cancelling headphones"",""speaker_impressions"":""Sometimes even though she agreed it didn&quotechart seem like she REALLY agreed"",""enjoyment"":""1"",""asses"":""Yes"",""comments"":"""",""problems"":"""",""fairprice"":""1.20""}",noise cancelling headphones,Sometimes even though she agreed it didn&quotechart seem like she REALLY agreed,1,Yes,,,1.2
